State,District,total_msmes,total_employment,avg_employment,total_investment,enterprise_type_split
ANDHRA PRADESH,CHITOOR,1,2,2.0,7.0,Micro: 1
ANDHRA PRADESH,GUNTUR,2,11,5.5,29.0,Micro: 2
ANDHRA PRADESH,KRISHNA,1,1,1.0,2.0,Micro: 1
ANDHRA PRADESH,PRAKASAM,1,4,4.0,10.0,Micro: 1
ANDHRA PRADESH,SPSR NELLORE,2,13,6.5,132.0,Small: 1 | Micro: 1
ANDHRA PRADESH,SRIKAKULAM,1,10,10.0,10.0,Micro: 1
ANDHRA PRADESH,VISAKHAPATNAM,1,11,11.0,40.0,Small: 1
ANDHRA PRADESH,VIZIANAGARAM,1,8,8.0,25.0,Micro: 1
ARUNACHAL PRADESH,CHANGLANG,1,20,20.0,6.0,Micro: 1
ARUNACHAL PRADESH,EAST SIANG,1,2,2.0,3.0,Micro: 1
ARUNACHAL PRADESH,LOHIT,3,15,5.0,29.0,Micro: 3
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,1,1,1.0,2.0,Micro: 1
ARUNACHAL PRADESH,PAPUM PARE,3,24,8.0,27.0,Micro: 3
ARUNACHAL PRADESH,UPPER SUBANSIRI,1,3,3.0,2.0,Micro: 1
ASSAM,BARPETA,1,7,7.0,25.0,Micro: 1
ASSAM,DIBRUGARH,2,9,4.5,50.0,Small: 1 | Micro: 1
ASSAM,DIMA HASAO,1,4,4.0,1.0,Micro: 1
ASSAM,GOLAGHAT,1,20,20.0,4.0,Micro: 1
ASSAM,KAMRUP METRO,1,6,6.0,2.0,Micro: 1
ASSAM,KOKRAJHAR,2,10,5.0,118.0,Small: 2
ASSAM,TINSUKIA,2,15,7.5,14.0,Micro: 2
BIHAR,MADHUBANI,4,9,2.25,14.0,Micro: 4
BIHAR,MUZAFFARPUR,3,4,1.3333333333333333,6.0,Micro: 3
BIHAR,NAWADA,1,6,6.0,2.0,Micro: 1
BIHAR,PATNA,1,8,8.0,20.0,Small: 1
BIHAR,VAISHALI,1,1,1.0,2.0,Micro: 1
CHANDIGARH,CHANDIGARH,10,42,4.2,82.0,Micro: 9 | Small: 1
CHHATTISGARH,BILASPUR,1,2,2.0,1.0,Micro: 1
CHHATTISGARH,DURG,2,7,3.5,3.0,Micro: 2
CHHATTISGARH,KANKER,1,1,1.0,1.0,Micro: 1
CHHATTISGARH,KORBA,1,5,5.0,5.0,Micro: 1
CHHATTISGARH,RAIPUR,4,9,2.25,16.0,Micro: 4
CHHATTISGARH,RAJNANDAGAON,1,1,1.0,1.0,Micro: 1
DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,10,63,6.3,140.0,Micro: 9 | Small: 1
DAMAN AND DIU,DAMAN,9,52,5.777777777777778,270.0,Micro: 6 | Small: 3
DAMAN AND DIU,DIU,1,5,5.0,100.0,Small: 1
DELHI,EAST,1,1,1.0,1.0,Micro: 1
DELHI,NEW DELHI,1,27,27.0,25.0,Small: 1
