State,District,top_nic_sector,manufacturing_pct,services_pct,industry_diversity_index
ANDHRA PRADESH,CHITOOR,49231,0.0,100.0,1
ANDHRA PRADESH,GUNTUR,01632,50.0,50.0,2
ANDHRA PRADESH,KRISHNA,96020,0.0,100.0,1
ANDHRA PRADESH,PRAKASAM,33132,100.0,0.0,1
ANDHRA PRADESH,SPSR NELLORE,33190,50.0,50.0,2
ANDHRA PRADESH,SRIKAKULAM,10796,100.0,0.0,1
ANDHRA PRADESH,VISAKHAPATNAM,35202,0.0,100.0,1
ANDHRA PRADESH,VIZIANAGARAM,22207,100.0,0.0,1
ARUNACHAL PRADESH,CHANGLANG,23921,100.0,0.0,1
ARUNACHAL PRADESH,EAST SIANG,74909,0.0,100.0,1
ARUNACHAL PRADESH,LOHIT,01639,100.0,0.0,2
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,96010,0.0,100.0,1
ARUNACHAL PRADESH,PAPUM PARE,13121,100.0,0.0,3
ARUNACHAL PRADESH,UPPER SUBANSIRI,70200,0.0,100.0,1
ASSAM,BARPETA,23954,100.0,0.0,1
ASSAM,DIBRUGARH,25996,50.0,50.0,2
ASSAM,DIMA HASAO,63999,0.0,100.0,1
ASSAM,GOLAGHAT,33111,0.0,100.0,1
ASSAM,KAMRUP METRO,90009,0.0,100.0,1
ASSAM,KOKRAJHAR,10799,100.0,0.0,1
ASSAM,TINSUKIA,41002,0.0,100.0,1
BIHAR,MADHUBANI,32111,25.0,75.0,4
BIHAR,MUZAFFARPUR,18119,33.33333333333333,66.66666666666666,3
BIHAR,NAWADA,07295,100.0,0.0,1
BIHAR,PATNA,62020,0.0,100.0,1
BIHAR,VAISHALI,47219,0.0,100.0,1
CHANDIGARH,CHANDIGARH,10712,30.0,70.0,10
CHHATTISGARH,BILASPUR,96020,0.0,100.0,1
CHHATTISGARH,DURG,10309,100.0,0.0,2
CHHATTISGARH,KANKER,56291,0.0,100.0,1
CHHATTISGARH,KORBA,43309,100.0,0.0,1
CHHATTISGARH,RAIPUR,14105,25.0,75.0,4
CHHATTISGARH,RAJNANDAGAON,14105,100.0,0.0,1
DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,10739,60.0,40.0,10
DAMAN AND DIU,DAMAN,22203,55.55555555555556,44.44444444444444,9
DAMAN AND DIU,DIU,96098,0.0,100.0,1
DELHI,EAST,79120,0.0,100.0,1
DELHI,NEW DELHI,82990,0.0,100.0,1
DELHI,SOUTH ,55101,0.0,100.0,2
DELHI,SOUTH WEST,80200,0.0,100.0,2
DELHI,WEST,13131,0.0,100.0,4
GOA,NORTH GOA,43211,20.0,80.0,5
GOA,SOUTH GOA,82990,20.0,80.0,4
GUJARAT,AHMADABAD,20297,50.0,50.0,6
GUJARAT,BHARUCH,46529,0.0,100.0,1
GUJARAT,SURAT,13991,33.33333333333333,66.66666666666666,3
HARYANA,AMBALA,77308,0.0,100.0,1
HARYANA,BHIWANI,32909,100.0,0.0,1
HARYANA,FARIDABAD,61101,0.0,100.0,1
HARYANA,HISAR,10801,100.0,0.0,1
HARYANA,JHAJJAR,23952,100.0,0.0,1
HARYANA,KARNAL,10802,100.0,0.0,1
HARYANA,MAHENDRAGARH,74909,0.0,100.0,1
HARYANA,PANIPAT,56292,0.0,100.0,1
HARYANA,ROHTAK,81100,100.0,0.0,1
HARYANA,SONIPAT,32909,0.0,100.0,1
HIMACHAL PRADESH,BILASPUR,56303,0.0,100.0,1
HIMACHAL PRADESH,HAMIRPUR,25934,100.0,0.0,1
HIMACHAL PRADESH,KANGRA,93120,0.0,100.0,1
HIMACHAL PRADESH,KULLU,41001,0.0,100.0,1
HIMACHAL PRADESH,SHIMLA,62099,50.0,50.0,2
HIMACHAL PRADESH,SOLAN,17023,50.0,50.0,2
HIMACHAL PRADESH,UNA,13999,50.0,50.0,2
JAMMU AND KASHMIR,JAMMU,13924,75.0,25.0,3
JAMMU AND KASHMIR,KATHUA,96091,0.0,100.0,1
JAMMU AND KASHMIR,SAMBA,24109,50.0,50.0,2
JAMMU AND KASHMIR,SRINAGAR,10795,33.33333333333333,66.66666666666666,3
JHARKHAND,BOKARO ,23109,50.0,50.0,4
JHARKHAND,DHANBAD,10732,100.0,0.0,2
JHARKHAND,EAST SINGHBHUM,47820,0.0,100.0,1
JHARKHAND,HAZARIBAG ,33140,100.0,0.0,1
JHARKHAND,RANCHI ,61900,0.0,100.0,2
KARNATAKA,BELAGAVI,13122,100.0,0.0,1
KARNATAKA,BENGALURU (RURAL),15201,100.0,0.0,2
KARNATAKA,BENGALURU (URBAN),43299,25.0,75.0,4
KARNATAKA,DHARWAD,46693,0.0,100.0,1
KARNATAKA,KOLAR,31001,100.0,0.0,1
KARNATAKA,MYSURU,31001,100.0,0.0,1
KERALA,ALAPPUZHA,13999,100.0,0.0,1
