State,District,LG_Dist_Code,PINCode,Dic_Name,msme_count
ANDHRA PRADESH,CHITOOR,503,517569.0,CHITOOR,1
ANDHRA PRADESH,GUNTUR,506,522003.0,GUNTUR,1
ANDHRA PRADESH,GUNTUR,506,522341.0,GUNTUR,1
ANDHRA PRADESH,KRISHNA,510,520015.0,KRISHNA,1
ANDHRA PRADESH,PRAKASAM,517,523240.0,PRAKASAM,1
ANDHRA PRADESH,SPSR NELLORE,515,524201.0,SHRI POTTI SRIRAMULU NELLORE,1
ANDHRA PRADESH,SPSR NELLORE,515,524421.0,SHRI POTTI SRIRAMULU NELLORE,1
ANDHRA PRADESH,SRIKAKULAM,519,532460.0,SRIKAKULAM,1
ANDHRA PRADESH,VISAKHAPATNAM,520,530001.0,VISAKHAPATNAM,1
ANDHRA PRADESH,VIZIANAGARAM,521,535558.0,VIZIANAGARAM,1
ARUNACHAL PRADESH,CHANGLANG,229,792056.0,CHANGLANG,1
ARUNACHAL PRADESH,EAST SIANG,232,791102.0,EAST SIANG,1
ARUNACHAL PRADESH,LOHIT,234,792001.0,LOHIT,1
ARUNACHAL PRADESH,LOHIT,234,792103.0,LOHIT,2
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,235,792110.0,ROING,1
ARUNACHAL PRADESH,PAPUM PARE,237,791110.0,"CAPITAL COMPLEX, NAHARLAGUN",1
ARUNACHAL PRADESH,PAPUM PARE,237,791113.0,"CAPITAL COMPLEX, NAHARLAGUN",1
ARUNACHAL PRADESH,PAPUM PARE,237,791113.0,YUPIA,1
ARUNACHAL PRADESH,UPPER SUBANSIRI,241,791122.0,UPPER SUBANSIRI,1
ASSAM,BARPETA,280,781313.0,BARPETA,1
ASSAM,DIBRUGARH,286,786003.0,DIBRUGARH,1
ASSAM,DIBRUGARH,286,786602.0,DIBRUGARH,1
ASSAM,DIMA HASAO,299,788819.0,DIMA HASAO,1
ASSAM,GOLAGHAT,288,785621.0,GOLAGHAT,1
ASSAM,KAMRUP METRO,618,781003.0,GM DIC KAMRUP,1
ASSAM,KOKRAJHAR,294,783360.0,KOKRAJHAR,2
ASSAM,TINSUKIA,302,786171.0,TINSUKIA,2
BIHAR,MADHUBANI,206,847108.0,MADHUBANI,1
BIHAR,MADHUBANI,206,847211.0,MADHUBANI,2
BIHAR,MADHUBANI,206,847223.0,MADHUBANI,1
BIHAR,MUZAFFARPUR,208,842002.0,MUZAFFARPUR,1
BIHAR,MUZAFFARPUR,208,843111.0,MUZAFFARPUR,2
BIHAR,NAWADA,210,805110.0,NAWADA,1
BIHAR,PATNA,212,800020.0,PATNA,1
BIHAR,VAISHALI,224,843114.0,VAISHALI,1
CHANDIGARH,CHANDIGARH,44,160002.0,CHANDIGARH,1
CHANDIGARH,CHANDIGARH,44,160014.0,CHANDIGARH,1
CHANDIGARH,CHANDIGARH,44,160019.0,CHANDIGARH,1
CHANDIGARH,CHANDIGARH,44,160022.0,CHANDIGARH,1
CHANDIGARH,CHANDIGARH,44,160025.0,CHANDIGARH,1
CHANDIGARH,CHANDIGARH,44,160036.0,CHANDIGARH,2
