State,District,total_msmes,sc_count,st_count,obc_count,general_count,female_owned,male_owned,ph_count
ANDHRA PRADESH,CHITOOR,1,1,0,0,0,1,0,0
ANDHRA PRADESH,GUNTUR,2,1,0,0,1,0,2,0
ANDHRA PRADESH,KRISHNA,1,0,0,0,1,1,0,0
ANDHRA PRADESH,PRAKASAM,1,0,0,0,1,0,1,0
ANDHRA PRADESH,SPSR NELLORE,2,1,0,1,0,1,1,0
ANDHRA PRADESH,SRIKAKULAM,1,0,1,0,0,0,1,0
ANDHRA PRADESH,VISAKHAPATNAM,1,0,0,0,1,0,1,0
ANDHRA PRADESH,VIZIANAGARAM,1,0,0,0,1,0,1,0
ARUNACHAL PRADESH,CHANGLANG,1,0,1,0,0,0,1,0
ARUNACHAL PRADESH,EAST SIANG,1,0,0,0,1,1,0,0
ARUNACHAL PRADESH,LOHIT,3,0,1,0,2,1,2,0
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,1,1,0,0,0,1,0,0
ARUNACHAL PRADESH,PAPUM PARE,3,0,3,0,0,1,2,0
ARUNACHAL PRADESH,UPPER SUBANSIRI,1,0,1,0,0,0,1,0
ASSAM,BARPETA,1,0,0,0,1,1,0,0
ASSAM,DIBRUGARH,2,0,0,2,0,0,2,0
ASSAM,DIMA HASAO,1,0,0,0,1,1,0,0
ASSAM,GOLAGHAT,1,0,0,0,1,0,1,0
ASSAM,KAMRUP METRO,1,0,0,0,1,1,0,0
ASSAM,KOKRAJHAR,2,0,0,2,0,0,2,0
ASSAM,TINSUKIA,2,0,0,0,2,0,2,0
BIHAR,MADHUBANI,4,1,0,1,2,0,0,0
BIHAR,MUZAFFARPUR,3,0,0,2,1,0,0,0
BIHAR,NAWADA,1,0,0,1,0,0,0,0
BIHAR,PATNA,1,0,0,0,1,0,0,0
BIHAR,VAISHALI,1,0,0,1,0,0,0,0
CHANDIGARH,CHANDIGARH,10,0,0,1,9,1,9,0
CHHATTISGARH,BILASPUR,1,0,0,0,1,1,0,0
CHHATTISGARH,DURG,2,0,0,0,2,0,2,0
CHHATTISGARH,KANKER,1,0,0,1,0,1,0,0
CHHATTISGARH,KORBA,1,0,0,0,1,0,1,0
CHHATTISGARH,RAIPUR,4,0,0,2,2,1,3,0
CHHATTISGARH,RAJNANDAGAON,1,0,1,0,0,1,0,0
DADAR AND NAGAR HAVELI,DADRA AND NAGAR HAVELLI,10,0,0,0,10,0,10,0
DAMAN AND DIU,DAMAN,9,0,0,1,8,1,8,0
DAMAN AND DIU,DIU,1,0,0,0,1,1,0,0
DELHI,EAST,1,0,0,0,1,0,1,0
DELHI,NEW DELHI,1,0,0,0,1,0,1,0
DELHI,SOUTH ,2,0,0,1,1,1,1,0
DELHI,SOUTH WEST,2,0,0,0,2,1,1,0
DELHI,WEST,4,0,0,0,4,0,4,0
GOA,NORTH GOA,5,1,0,0,4,1,4,0
GOA,SOUTH GOA,5,0,0,0,5,0,5,0
GUJARAT,AHMADABAD,6,0,0,0,6,0,0,0
GUJARAT,BHARUCH,1,0,0,0,1,0,0,0
GUJARAT,SURAT,3,0,0,0,3,0,0,0
HARYANA,AMBALA,1,0,0,1,0,0,1,0
HARYANA,BHIWANI,1,0,0,0,1,0,1,0
HARYANA,FARIDABAD,1,1,0,0,0,1,0,0
HARYANA,HISAR,1,0,0,0,1,1,0,0
HARYANA,JHAJJAR,1,0,0,0,1,0,1,0
HARYANA,KARNAL,1,0,0,0,1,0,1,0
HARYANA,MAHENDRAGARH,1,0,0,0,1,0,1,0
HARYANA,PANIPAT,1,0,0,0,1,0,1,0
HARYANA,ROHTAK,1,0,0,0,1,0,1,0
HARYANA,SONIPAT,1,0,0,0,1,0,1,0
HIMACHAL PRADESH,BILASPUR,1,1,0,0,0,0,1,0
HIMACHAL PRADESH,HAMIRPUR,1,0,0,0,1,0,1,0
HIMACHAL PRADESH,KANGRA,1,0,0,0,1,0,1,0
HIMACHAL PRADESH,KULLU,1,0,0,0,1,0,1,0
HIMACHAL PRADESH,SHIMLA,2,1,0,0,1,0,2,0
HIMACHAL PRADESH,SOLAN,2,0,0,1,1,0,2,0
HIMACHAL PRADESH,UNA,2,1,0,0,1,1,1,0
JAMMU AND KASHMIR,JAMMU,4,0,0,0,4,2,2,0
JAMMU AND KASHMIR,KATHUA,1,0,0,0,1,0,1,0
JAMMU AND KASHMIR,SAMBA,2,0,0,0,2,0,2,0
JAMMU AND KASHMIR,SRINAGAR,3,0,1,0,2,0,3,0
JHARKHAND,BOKARO ,4,0,0,3,1,0,1,0
JHARKHAND,DHANBAD,2,0,0,0,2,0,0,0
JHARKHAND,EAST SINGHBHUM,1,0,0,0,1,0,0,0
JHARKHAND,HAZARIBAG ,1,0,0,1,0,0,0,0
JHARKHAND,RANCHI ,2,0,0,1,1,0,0,0
KARNATAKA,BELAGAVI,1,0,0,1,0,0,0,0
